RESPONDEN;;ALASAN PELAKSANAAN BERZIARAH;;;;;;PRAKTK BERZIARAH BATAK TOBA ;;;;;KONTEKS YESAYA 8:19;;;;;;PEMAHAMAN JEMAAT ;;;;;
;;X1.1;X1.2;X1.3;TotalX;;;X2.1;X2.2;X2.3;X2.4;TOTALX2; Y1.1;Y1.2;Y1.3;Y1.4;Y1.5;TOTALY1;Y2.1;Y2.2;Y2.3;Y2.4;Y2.5;TOTALLY
1;;5;5;1;11;;;5;5;5;5;20;5;5;5;5;5;25;5;2;5;5;5;22
2;;4;2;2;8;;;2;3;3;2;10;4;4;1;1;4;14;4;2;2;2;4;14
3;;4;1;1;6;;;1;1;1;1;4;5;5;5;2;5;22;5;1;4;2;2;14
4;;4;1;1;6;;;3;2;3;1;9;4;5;4;4;4;21;4;2;3;2;4;15
5;;5;1;1;7;;;1;1;5;5;12;5;5;5;5;5;25;5;1;5;3;5;19
6;;4;1;1;6;;;1;1;1;1;4;5;5;4;5;5;24;5;1;1;1;4;12
7;;4;4;2;10;;;4;2;2;3;11;4;5;5;4;5;23;5;1;4;4;4;18
8;;4;2;1;7;;;1;1;1;1;4;5;5;5;5;5;25;5;1;4;3;4;17
9;;4;2;1;7;;;2;2;4;3;11;4;4;4;4;5;21;5;2;3;2;4;16
10;;4;2;1;7;;;2;2;2;2;8;4;1;4;5;4;18;4;2;2;2;4;14
11;;3;2;2;7;;;2;2;2;2;8;5;5;5;5;5;25;5;2;5;2;4;18
12;;4;1;1;6;;;1;1;1;1;4;5;5;5;5;5;25;5;5;5;4;5;24
13;;4;1;1;6;;;1;3;3;1;8;5;5;5;4;4;23;5;4;4;1;4;18
14;;1;1;1;3;;;2;5;5;5;17;5;5;5;5;5;25;4;1;5;2;4;16
15;;5;1;1;7;;;5;5;5;5;20;5;5;5;5;5;25;5;1;4;5;5;20
16;;5;2;1;8;;;5;1;5;1;12;5;4;4;4;4;21;4;4;5;1;5;19
17;;1;1;1;3;;;2;2;1;1;6;5;5;5;5;4;24;4;1;2;2;5;14
18;;1;2;2;5;;;2;2;2;3;9;5;5;4;4;5;23;4;2;3;3;3;15
19;;3;2;1;6;;;2;2;3;2;9;4;4;4;4;4;20;5;3;2;2;2;14
20;;2;2;2;6;;;5;5;5;5;20;5;5;5;5;5;25;5;2;5;5;5;22
21;;1;1;1;3;;;5;5;5;5;20;4;4;4;4;4;20;5;5;1;2;5;18
22;;1;1;2;4;;;2;5;5;5;17;5;4;4;4;4;21;4;2;1;1;5;13
23;;1;3;2;6;;;3;3;3;3;12;5;5;5;5;5;25;5;5;5;5;5;25
24;;1;3;3;7;;;5;5;5;5;20;4;4;4;4;4;20;5;5;5;2;5;22
25;;4;3;3;10;;;5;5;5;5;20;4;4;4;4;4;20;4;5;5;5;5;24
26;;3;3;3;9;;;3;3;3;3;12;4;4;4;4;4;20;4;5;5;1;5;20
27;;1;2;1;4;;;2;1;1;1;5;4;4;4;4;4;20;5;5;5;3;5;23
28;;1;1;1;3;;;1;1;1;1;4;5;5;5;5;5;25;5;5;5;1;5;21
29;;1;1;1;3;;;5;1;2;1;9;5;4;4;5;5;23;5;5;5;5;5;25
30;;1;1;1;3;;;1;1;1;1;4;4;4;5;5;5;23;5;5;5;5;5;25
31;;1;1;1;3;;;1;1;1;1;4;4;4;4;4;4;20;5;5;5;3;5;23
32;;1;1;1;3;;;3;3;3;3;12;5;5;5;5;5;25;5;5;5;3;5;23
33;;1;1;1;3;;;5;5;5;5;20;5;5;5;5;5;25;5;5;5;3;5;23
34;;3;3;3;9;;;1;1;1;1;4;4;4;5;5;5;23;5;5;5;1;4;20
35;;1;1;1;3;;;1;1;1;1;4;4;4;4;4;4;20;5;5;5;3;5;23
36;;1;1;1;3;;;1;1;1;1;4;5;5;5;5;5;25;5;5;5;1;5;21
37;;1;1;1;3;;;1;1;1;1;4;5;5;5;5;5;25;5;5;4;1;5;20
38;;1;1;1;3;;;1;1;1;1;4;5;5;5;4;5;24;5;5;5;4;4;23
39;;2;2;2;6;;;2;2;2;2;8;5;4;4;4;5;22;4;4;5;5;5;23
40;;1;1;1;3;;;1;1;1;1;4;5;5;5;5;5;25;5;5;5;5;5;25
41;;1;1;2;4;;;2;2;2;2;8;4;4;4;4;4;20;5;5;5;5;5;25
42;;2;2;2;6;;;2;2;2;2;8;4;5;4;5;5;23;5;5;5;5;5;25
43;;2;2;2;6;;;1;1;1;1;4;5;5;5;5;5;25;5;5;5;5;5;25
44;;1;1;1;3;;;5;1;1;1;8;4;4;4;4;4;20;5;5;5;5;5;25
45;;2;2;2;6;;;3;3;3;3;12;5;5;5;5;5;25;5;5;5;5;5;25
